epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9636,1.01883,1.96399,4.02844,1.21481,0.43531,0.04227,0.06291,0.04012,0.44718,0.04227,0.06935,0.03834,0.55482,1.24358,3.72579,1.00583,2.856e-05,2.856e-05,2.856e-05
2,22.5747,0.70838,1.55071,3.31405,1.04193,0.50501,0.47172,0.31623,0.25878,0.50316,0.46729,0.29447,0.20755,0.50096,1.01674,5.46433,0.89228,6.36238e-05,6.36238e-05,6.36238e-05
3,30.6147,0.54369,1.04967,1.89109,0.90105,0.55784,0.5334,0.41271,0.33468,0.51489,0.48414,0.36441,0.26291,0.54963,1.47991,5.12857,0.89482,9.79808e-05,9.79808e-05,9.79808e-05
4,39.4995,0.56435,0.98558,1.51533,0.8967,0.56645,0.40743,0.31994,0.27425,0.56645,0.40743,0.30771,0.20761,0.53227,1.65117,inf,0.91524,0.000131631,0.000131631,0.000131631
5,47.9859,0.57874,1.00273,1.47319,0.91568,0.37328,0.2906,0.21457,0.17744,0.46415,0.23801,0.17015,0.08092,0.8979,7.36714,inf,1.19678,0.000164574,0.000164574,0.000164574
6,56.0779,0.54761,0.93945,1.19666,0.89865,0.36069,0.26071,0.16568,0.12388,0.33568,0.23107,0.1465,0.09001,1.20815,9.06199,inf,1.53557,0.000196811,0.000196811,0.000196811
7,62.5277,0.57942,0.87188,1.09711,0.91706,0.50675,0.20125,0.18256,0.14464,0.46607,0.18241,0.15691,0.08101,1.68636,8.10347,4.66518,2.12519,0.00022834,0.00022834,0.00022834
8,69.3297,0.57301,0.84678,1.07819,0.90977,0.41104,0.25888,0.18437,0.12348,0.3857,0.23916,0.15956,0.10276,1.40203,14.7827,8.0617,2.13277,0.000259163,0.000259163,0.000259163
9,75.9941,0.59447,0.90312,1.15428,0.91747,0.50918,0.39855,0.33923,0.2456,0.52736,0.29525,0.27295,0.15003,0.95305,3.55484,3.97908,1.24394,0.000289279,0.000289279,0.000289279
10,82.4932,0.60528,0.85633,1.0264,0.94894,0.50169,0.3803,0.28722,0.22649,0.44296,0.32858,0.23482,0.1193,1.07809,3.90299,inf,1.3267,0.000318687,0.000318687,0.000318687
11,88.7901,0.64018,0.88443,1.06304,0.94808,0.39161,0.29216,0.26871,0.205,0.27173,0.29447,0.20483,0.12361,1.19202,4.96114,inf,1.65588,0.00034739,0.00034739,0.00034739
12,95.6385,0.62582,0.96798,1.03187,0.94974,0.28726,0.19971,0.07847,0.06218,0.2327,0.17489,0.05655,0.02159,1.60851,28.5555,inf,3.01627,0.000375385,0.000375385,0.000375385
13,101.975,0.64225,0.98098,1.00531,0.94345,0.36366,0.15867,0.12445,0.08849,0.24631,0.14659,0.10106,0.05495,nan,nan,nan,nan,0.000402673,0.000402673,0.000402673
14,108.164,0.62394,0.9997,0.97845,0.92958,0.43837,0.07077,0.06624,0.05026,0.44683,0.07197,0.06537,0.04607,nan,nan,nan,nan,0.000429255,0.000429255,0.000429255
15,114.218,0.60638,0.90424,0.92115,0.93681,0.26167,0.02376,0.02347,0.01527,0.15828,0.02535,0.02595,0.01908,nan,nan,nan,nan,0.000455129,0.000455129,0.000455129
16,120.323,0.6055,1.00374,1.025,0.94269,0.50324,0.00786,0.0012,0.00052,0.50116,0.0031,0.00044,0.00032,nan,nan,nan,nan,0.000480297,0.000480297,0.000480297
17,126.462,0.59603,0.9015,0.90776,0.89288,0.54352,0.0181,0.01912,0.01365,0.2126,0.01667,0.0048,0.00097,nan,nan,nan,nan,0.000504758,0.000504758,0.000504758
18,132.588,0.61526,0.85948,0.93392,0.93042,0.02325,0.13854,0.03624,0.02868,0.02284,0.11015,0.03186,0.01738,nan,nan,nan,nan,0.000528512,0.000528512,0.000528512
19,138.731,0.63221,0.85011,0.95708,0.9456,0.89465,0.02,0.03167,0.02609,0.89465,0.02,0.03162,0.01685,nan,nan,nan,nan,0.000551559,0.000551559,0.000551559
20,144.848,0.62026,0.7236,0.97019,0.92145,0.97108,0.02,0.02778,0.02646,0.97108,0.02,0.04026,0.02255,nan,nan,nan,nan,0.0005739,0.0005739,0.0005739
21,150.985,0.59141,0.98392,1.01602,0.94809,0.84862,0.02,0.02016,0.01467,0.54635,0.04,0.02447,0.01684,nan,nan,nan,nan,0.000572628,0.000572628,0.000572628
22,157.075,0.60669,0.84297,0.85685,0.92235,0.43723,0.06581,0.04288,0.02864,0.42882,0.06711,0.04128,0.0218,nan,nan,nan,nan,0.000565559,0.000565559,0.000565559
23,163.235,0.6032,0.8181,0.90771,0.92028,0.57451,0.19461,0.17338,0.12362,0.51952,0.16884,0.14081,0.067,nan,nan,nan,nan,0.000558491,0.000558491,0.000558491
24,169.391,0.59759,0.8458,0.83895,0.91406,0.70305,0.63356,0.66255,0.52591,0.66119,0.59339,0.60336,0.37341,0.66252,1.61359,1.31626,1.00852,0.000551422,0.000551422,0.000551422
25,176.584,0.58984,1.00736,0.81389,0.92581,0.58606,0.6371,0.62752,0.48969,0.5615,0.55951,0.57928,0.38877,nan,nan,nan,nan,0.000544354,0.000544354,0.000544354
26,182.65,0.61486,1.16677,0.90033,0.94895,0.55356,0.51712,0.52585,0.42481,0.5526,0.49696,0.52485,0.35743,nan,nan,nan,nan,0.000537285,0.000537285,0.000537285
27,188.771,0.66988,1.03155,0.88546,0.97862,0.51241,0.44557,0.38564,0.30666,0.49084,0.42416,0.36501,0.23228,nan,nan,nan,nan,0.000530216,0.000530216,0.000530216
28,195.012,0.6226,0.95291,0.84844,0.93469,0.4954,0.36302,0.32889,0.25925,0.48569,0.34197,0.31164,0.20765,1.01574,3.51444,16.0238,1.32997,0.000523148,0.000523148,0.000523148
29,201.191,0.63312,0.86301,0.782,0.93469,0.53502,0.37353,0.36266,0.29614,0.53638,0.37525,0.35902,0.24241,0.88761,2.33578,2.70924,1.16297,0.000516079,0.000516079,0.000516079
30,207.288,0.56002,0.72851,0.68892,0.91289,0.44415,0.22497,0.21264,0.1779,0.45096,0.22508,0.21168,0.1518,1.49992,3.92494,2.12839,1.652,0.000509011,0.000509011,0.000509011
31,213.35,0.55642,0.84738,0.68658,0.90079,0.52044,0.25515,0.26902,0.2081,0.51404,0.23954,0.26098,0.18241,1.36196,3.42166,2.23318,1.51255,0.000501942,0.000501942,0.000501942
32,219.523,0.54796,0.7947,0.7378,0.91185,0.72302,0.66738,0.67497,0.56355,0.70809,0.67033,0.64001,0.46027,0.59223,1.25759,1.14279,0.95723,0.000494873,0.000494873,0.000494873
